Month and year,Ad unit,Impressions,Viewability,Ad requests
01/2023,MMDigital_Passback,70998,"0,08",16447
01/2023,MMLaguna,3179,"0,84",1681
01/2023,MMLaguna_App,341,"0,86",49000
01/2023,MMPuebla,792,"0,92",208
01/2023,MMRadio,310456,"0,45",41554
01/2023,MMTelediarioCR,4433803,"0,26",10708711
01/2023,Multimedios_APP,8103,"0,87",20051
01/2023,Multimedios_Radio,87199,"0,89",9227
01/2023,NewTelediarioMx,13748417,"0,28",17486411
01/2023,Tablet_APP_Classic,0,"0,00",400
01/2023,Tablet_APP_D99,0,"0,00",2000
01/2023,Tablet_APP_FMtu,0,"0,00",1200
01/2023,Tablet_APP_Hits,0,"0,00",400
01/2023,Tablet_APP_LaCaliente,0,"0,00",5400
01/2023,Tablet_APP_LaLupe,0,"0,00",800
01/2023,Tablet_APP_NewTDMx,1015,"0,98",107
01/2023,Tablet_APP_RGDeportiva,0,"0,00",1000
01/2023,Telediario_APP,152,"0,91",20900
01/2023,mundial_qatar,6,"0,67",1600
02/2023,AMP_MMTelediarioCR,46499,"0,57",60354
02/2023,AMP_NewTelediarioMx,2912467,"0,63",4608063
